transaction_id,amount,transaction_type,timestamp,date,description,from_account_id,to_account_id,suspicious_pattern
TXN0000000001,9184.61,deposit,1768898404,2026-01-20,Cash deposit - business income,ACC00000004,ACC00000001,structuring
TXN0000000002,8729.05,deposit,1768828355,2026-01-19,Cash deposit - service fees,ACC00000004,ACC00000001,structuring
TXN0000000003,8901.16,deposit,1768831300,2026-01-19,Cash deposit - service fees,ACC00000004,ACC00000001,structuring
TXN0000000004,9155.44,deposit,1768859764,2026-01-19,Deposit - miscellaneous income,ACC00000005,ACC00000001,structuring
TXN0000000005,8642.87,deposit,1768837646,2026-01-19,Cash deposit - service fees,ACC00000005,ACC00000001,structuring
TXN0000000006,9247.01,deposit,1768862598,2026-01-19,Deposit - miscellaneous income,ACC00000005,ACC00000001,structuring
TXN0000000007,8719.32,deposit,1768911769,2026-01-20,Deposit - miscellaneous income,ACC00000006,ACC00000001,structuring
TXN0000000008,8590.91,deposit,1768829652,2026-01-19,Cash deposit - business income,ACC00000006,ACC00000001,structuring
TXN0000000009,8652.84,deposit,1768839404,2026-01-19,Deposit - miscellaneous income,ACC00000006,ACC00000001,structuring
TXN0000000010,9096.41,deposit,1768858825,2026-01-19,Deposit - miscellaneous income,ACC00000006,ACC00000001,structuring
TXN0000000011,9471.08,deposit,1768899953,2026-01-20,Cash deposit - business income,ACC00000007,ACC00000001,structuring
TXN0000000012,9180.28,deposit,1768835479,2026-01-19,Cash deposit - service fees,ACC00000007,ACC00000001,structuring
TXN0000000013,9268.6,deposit,1768854973,2026-01-19,Cash deposit - service fees,ACC00000007,ACC00000001,structuring
TXN0000000014,8934.77,deposit,1768864783,2026-01-20,Cash deposit - service fees,ACC00000007,ACC00000001,structuring
TXN0000000015,9007.68,deposit,1768834775,2026-01-19,Cash deposit - service fees,ACC00000008,ACC00000001,structuring
TXN0000000016,9341.67,deposit,1768869444,2026-01-20,Deposit - consulting payment,ACC00000008,ACC00000001,structuring
TXN0000000017,8652.84,deposit,1768891462,2026-01-20,Cash deposit - business income,ACC00000008,ACC00000001,structuring
TXN0000000018,8988.61,deposit,1768835247,2026-01-19,Cash deposit - service fees,ACC00000009,ACC00000001,structuring
TXN0000000019,9378.72,deposit,1768897437,2026-01-20,Cash deposit - service fees,ACC00000009,ACC00000001,structuring
TXN0000000020,8739.45,deposit,1768846393,2026-01-19,Cash deposit - business income,ACC00000009,ACC00000001,structuring
TXN0000000021,8585.65,deposit,1768867571,2026-01-20,Cash deposit - business income,ACC00000009,ACC00000001,structuring
TXN0000000022,8628.39,deposit,1768866646,2026-01-20,Deposit - consulting payment,ACC00000010,ACC00000001,structuring
TXN0000000023,8765.06,deposit,1768900960,2026-01-20,Deposit - miscellaneous income,ACC00000010,ACC00000001,structuring
TXN0000000024,9464.36,deposit,1768905840,2026-01-20,Deposit - consulting payment,ACC00000010,ACC00000001,structuring
TXN0000000025,8898.99,deposit,1768883615,2026-01-20,Cash deposit - service fees,ACC00000011,ACC00000001,structuring
TXN0000000026,8938.1,deposit,1768870300,2026-01-20,Cash deposit - business income,ACC00000011,ACC00000001,structuring
TXN0000000027,8747.91,deposit,1768831113,2026-01-19,Cash deposit - business income,ACC00000011,ACC00000001,structuring
TXN0000000028,9088.31,deposit,1768845463,2026-01-19,Deposit - consulting payment,ACC00000011,ACC00000001,structuring
TXN0000000029,8570.99,deposit,1768880109,2026-01-20,Deposit - consulting payment,ACC00000012,ACC00000001,structuring
TXN0000000030,8567.4,deposit,1768828296,2026-01-19,Cash deposit - service fees,ACC00000012,ACC00000001,structuring
TXN0000000031,9014.16,deposit,1768849642,2026-01-19,Deposit - miscellaneous income,ACC00000013,ACC00000001,structuring
TXN0000000032,8714.24,deposit,1768837013,2026-01-19,Deposit - miscellaneous income,ACC00000013,ACC00000001,structuring
TXN0000000033,9247.98,deposit,1767966521,2026-01-09,Deposit - miscellaneous income,ACC00000014,ACC00000002,structuring
TXN0000000034,9002.85,deposit,1768035256,2026-01-10,Deposit - consulting payment,ACC00000014,ACC00000002,structuring
TXN0000000035,9460.78,deposit,1767968503,2026-01-09,Deposit - consulting payment,ACC00000015,ACC00000002,structuring
TXN0000000036,8568.52,deposit,1767967453,2026-01-09,Deposit - consulting payment,ACC00000015,ACC00000002,structuring
TXN0000000037,8619.89,deposit,1768038502,2026-01-10,Deposit - consulting payment,ACC00000016,ACC00000002,structuring
TXN0000000038,9078.92,deposit,1767965015,2026-01-09,Cash deposit - business income,ACC00000016,ACC00000002,structuring
TXN0000000039,8919.22,deposit,1768012011,2026-01-10,Cash deposit - service fees,ACC00000016,ACC00000002,structuring
TXN0000000040,9434.71,deposit,1767979229,2026-01-09,Cash deposit - service fees,ACC00000016,ACC00000002,structuring
TXN0000000041,8738.69,deposit,1767995777,2026-01-09,Cash deposit - service fees,ACC00000016,ACC00000002,structuring
TXN0000000042,8816.18,deposit,1768026543,2026-01-10,Cash deposit - business income,ACC00000017,ACC00000002,structuring
TXN0000000043,8509.32,deposit,1768015250,2026-01-10,Cash deposit - business income,ACC00000017,ACC00000002,structuring
TXN0000000044,8573.26,deposit,1767979998,2026-01-09,Cash deposit - service fees,ACC00000017,ACC00000002,structuring
TXN0000000045,8632.46,deposit,1767991736,2026-01-09,Cash deposit - business income,ACC00000017,ACC00000002,structuring
TXN0000000046,9379.27,deposit,1767993509,2026-01-09,Deposit - consulting payment,ACC00000017,ACC00000002,structuring
TXN0000000047,9333.74,deposit,1768022367,2026-01-10,Cash deposit - business income,ACC00000018,ACC00000002,structuring
TXN0000000048,9167.86,deposit,1768009499,2026-01-10,Cash deposit - business income,ACC00000018,ACC00000002,structuring
TXN0000000049,9438.93,deposit,1767973184,2026-01-09,Cash deposit - business income,ACC00000018,ACC00000002,structuring
TXN0000000050,9389.71,deposit,1768025726,2026-01-10,Deposit - consulting payment,ACC00000018,ACC00000002,structuring
TXN0000000051,8772.35,deposit,1768013839,2026-01-10,Cash deposit - service fees,ACC00000018,ACC00000002,structuring
TXN0000000052,9187.5,deposit,1768035273,2026-01-10,Deposit - miscellaneous income,ACC00000019,ACC00000002,structuring
TXN0000000053,8751.12,deposit,1768040046,2026-01-10,Cash deposit - business income,ACC00000019,ACC00000002,structuring
TXN0000000054,8592.3,deposit,1767998178,2026-01-09,Cash deposit - service fees,ACC00000019,ACC00000002,structuring
TXN0000000055,8503.55,deposit,1768028206,2026-01-10,Cash deposit - service fees,ACC00000020,ACC00000002,structuring
TXN0000000056,8661.58,deposit,1767999756,2026-01-10,Deposit - miscellaneous income,ACC00000020,ACC00000002,structuring
TXN0000000057,8611.87,deposit,1768043234,2026-01-10,Deposit - consulting payment,ACC00000021,ACC00000002,structuring
TXN0000000058,9045.59,deposit,1768033690,2026-01-10,Deposit - consulting payment,ACC00000021,ACC00000002,structuring
TXN0000000059,8627.45,deposit,1767988215,2026-01-09,Cash deposit - business income,ACC00000022,ACC00000002,structuring
TXN0000000060,9398.92,deposit,1767979732,2026-01-09,Deposit - consulting payment,ACC00000022,ACC00000002,structuring
TXN0000000061,9166.93,deposit,1767992139,2026-01-09,Deposit - miscellaneous income,ACC00000022,ACC00000002,structuring
TXN0000000062,9473.84,deposit,1768026336,2026-01-10,Deposit - consulting payment,ACC00000022,ACC00000002,structuring
TXN0000000063,9364.61,deposit,1768045926,2026-01-10,Deposit - consulting payment,ACC00000022,ACC00000002,structuring
TXN0000000064,8524.79,deposit,1768025221,2026-01-10,Cash deposit - service fees,ACC00000023,ACC00000002,structuring
TXN0000000065,9282.39,deposit,1767997153,2026-01-09,Deposit - consulting payment,ACC00000023,ACC00000002,structuring
TXN0000000066,8766.81,deposit,1768029611,2026-01-10,Cash deposit - business income,ACC00000023,ACC00000002,structuring
TXN0000000067,8882.54,deposit,1767964927,2026-01-09,Deposit - miscellaneous income,ACC00000023,ACC00000002,structuring
TXN0000000068,8722.43,deposit,1768032135,2026-01-10,Deposit - miscellaneous income,ACC00000023,ACC00000002,structuring
TXN0000000069,9047.94,deposit,1768739217,2026-01-18,Cash deposit - service fees,ACC00000024,ACC00000003,structuring
TXN0000000070,8710.18,deposit,1768807071,2026-01-19,Cash deposit - service fees,ACC00000024,ACC00000003,structuring
TXN0000000071,8964.99,deposit,1768777384,2026-01-19,Deposit - consulting payment,ACC00000024,ACC00000003,structuring
TXN0000000072,9011.17,deposit,1768807760,2026-01-19,Deposit - consulting payment,ACC00000024,ACC00000003,structuring
TXN0000000073,9158.85,deposit,1768763701,2026-01-18,Cash deposit - service fees,ACC00000024,ACC00000003,structuring
TXN0000000074,9318.42,deposit,1768804080,2026-01-19,Cash deposit - service fees,ACC00000025,ACC00000003,structuring
TXN0000000075,8724.64,deposit,1768756386,2026-01-18,Cash deposit - business income,ACC00000025,ACC00000003,structuring
TXN0000000076,8744.84,deposit,1768780233,2026-01-19,Cash deposit - business income,ACC00000026,ACC00000003,structuring
TXN0000000077,8955.42,deposit,1768815744,2026-01-19,Deposit - consulting payment,ACC00000026,ACC00000003,structuring
TXN0000000078,8994.38,deposit,1768760262,2026-01-18,Cash deposit - business income,ACC00000027,ACC00000003,structuring
TXN0000000079,9392.66,deposit,1768813524,2026-01-19,Cash deposit - business income,ACC00000027,ACC00000003,structuring
TXN0000000080,9278.42,deposit,1768758089,2026-01-18,Deposit - miscellaneous income,ACC00000027,ACC00000003,structuring
TXN0000000081,8550.22,deposit,1768760712,2026-01-18,Cash deposit - business income,ACC00000027,ACC00000003,structuring
TXN0000000082,8956.46,deposit,1768808424,2026-01-19,Cash deposit - service fees,ACC00000027,ACC00000003,structuring
TXN0000000083,9112.65,deposit,1768801327,2026-01-19,Deposit - miscellaneous income,ACC00000028,ACC00000003,structuring
TXN0000000084,9330.57,deposit,1768786518,2026-01-19,Deposit - consulting payment,ACC00000028,ACC00000003,structuring
TXN0000000085,9243.66,deposit,1768780193,2026-01-19,Cash deposit - service fees,ACC00000028,ACC00000003,structuring
TXN0000000086,9251.78,deposit,1768811746,2026-01-19,Cash deposit - service fees,ACC00000028,ACC00000003,structuring
TXN0000000087,9265.81,deposit,1768784222,2026-01-19,Deposit - consulting payment,ACC00000028,ACC00000003,structuring
TXN0000000088,8939.87,deposit,1768800832,2026-01-19,Deposit - consulting payment,ACC00000029,ACC00000003,structuring
TXN0000000089,8771.72,deposit,1768766804,2026-01-18,Cash deposit - business income,ACC00000029,ACC00000003,structuring
TXN0000000090,8638.37,deposit,1768759162,2026-01-18,Deposit - consulting payment,ACC00000029,ACC00000003,structuring
TXN0000000091,9206.42,deposit,1768744731,2026-01-18,Deposit - miscellaneous income,ACC00000029,ACC00000003,structuring
TXN0000000092,9042.61,deposit,1768775104,2026-01-18,Deposit - consulting payment,ACC00000030,ACC00000003,structuring
TXN0000000093,9332.89,deposit,1768772832,2026-01-18,Cash deposit - business income,ACC00000030,ACC00000003,structuring
TXN0000000094,9356.73,deposit,1768805329,2026-01-19,Deposit - miscellaneous income,ACC00000030,ACC00000003,structuring
TXN0000000095,8976.98,deposit,1768820634,2026-01-19,Cash deposit - service fees,ACC00000030,ACC00000003,structuring
TXN0000000096,9353.45,deposit,1768821558,2026-01-19,Deposit - miscellaneous income,ACC00000031,ACC00000003,structuring
TXN0000000097,9038.22,deposit,1768802654,2026-01-19,Deposit - consulting payment,ACC00000031,ACC00000003,structuring
TXN0000000098,8988.23,deposit,1768762763,2026-01-18,Deposit - miscellaneous income,ACC00000031,ACC00000003,structuring
TXN0000000099,8529.02,deposit,1768768223,2026-01-18,Deposit - miscellaneous income,ACC00000031,ACC00000003,structuring
TXN0000000100,9224.18,deposit,1768811801,2026-01-19,Deposit - consulting payment,ACC00000031,ACC00000003,structuring
TXN0000000101,9406.93,deposit,1768790321,2026-01-19,Cash deposit - business income,ACC00000032,ACC00000003,structuring
TXN0000000102,8583.95,deposit,1768776214,2026-01-18,Deposit - miscellaneous income,ACC00000032,ACC00000003,structuring
TXN0000000103,8550.28,deposit,1768771936,2026-01-18,Deposit - consulting payment,ACC00000033,ACC00000003,structuring
TXN0000000104,8954.7,deposit,1768768342,2026-01-18,Deposit - miscellaneous income,ACC00000033,ACC00000003,structuring
TXN0000000105,8778.26,deposit,1768821365,2026-01-19,Deposit - miscellaneous income,ACC00000033,ACC00000003,structuring
TXN0000000106,467.1,deposit,1766273480,2025-12-21,ATM withdrawal,ACC00000097,ACC00000118,
TXN0000000107,3673.53,transfer,1769513089,2026-01-27,Wire transfer,ACC00000012,ACC00000083,
TXN0000000108,71.86,withdrawal,1768624886,2026-01-17,ACH transfer,ACC00000127,ACC00000010,
TXN0000000109,17.52,withdrawal,1762409046,2025-11-06,Check deposit,ACC00000135,ACC00000117,
TXN0000000110,4335.54,transfer,1769246571,2026-01-24,Online payment,ACC00000102,ACC00000021,
TXN0000000111,1556.47,transfer,1769583165,2026-01-28,ACH transfer,ACC00000125,ACC00000010,
TXN0000000112,382.58,deposit,1767223734,2026-01-01,ACH transfer,ACC00000112,ACC00000026,
TXN0000000113,11550.64,transfer,1765031296,2025-12-06,Wire transfer,ACC00000084,ACC00000015,
TXN0000000114,48.69,transfer,1765697042,2025-12-14,Wire transfer,ACC00000044,ACC00000046,
TXN0000000115,2568.07,transfer,1768834986,2026-01-19,Debit card purchase,ACC00000060,ACC00000120,
TXN0000000116,31440.73,transfer,1769307920,2026-01-25,Check deposit,ACC00000041,ACC00000019,
TXN0000000117,107.62,withdrawal,1764792670,2025-12-03,Debit card purchase,ACC00000117,ACC00000078,
TXN0000000118,20.75,transfer,1766227845,2025-12-20,Online payment,ACC00000076,ACC00000077,
TXN0000000119,418.09,withdrawal,1766547719,2025-12-24,Wire transfer,ACC00000013,ACC00000129,
TXN0000000120,342.1,transfer,1766712439,2025-12-26,Online payment,ACC00000049,ACC00000066,
TXN0000000121,396.42,withdrawal,1762528059,2025-11-07,Check deposit,ACC00000011,ACC00000081,
TXN0000000122,4039.31,withdrawal,1765955090,2025-12-17,Wire transfer,ACC00000107,ACC00000045,
TXN0000000123,484.02,deposit,1765468926,2025-12-11,Wire transfer,ACC00000066,ACC00000125,
TXN0000000124,4120.64,transfer,1761935413,2025-10-31,ACH transfer,ACC00000058,ACC00000103,
TXN0000000125,31305.2,deposit,1769138891,2026-01-23,Online payment,ACC00000117,ACC00000095,
TXN0000000126,30263.33,deposit,1763548533,2025-11-19,Online payment,ACC00000060,ACC00000122,
TXN0000000127,328.13,withdrawal,1764193920,2025-11-26,ACH transfer,ACC00000119,ACC00000078,
TXN0000000128,25413.97,transfer,1769209566,2026-01-24,Debit card purchase,ACC00000025,ACC00000062,
TXN0000000129,42516.19,withdrawal,1765000691,2025-12-06,ACH transfer,ACC00000108,ACC00000040,
TXN0000000130,227.26,withdrawal,1769454875,2026-01-26,Debit card purchase,ACC00000095,ACC00000056,
TXN0000000131,1354.14,deposit,1762540034,2025-11-07,Online payment,ACC00000092,ACC00000016,
TXN0000000132,10666.57,transfer,1763422860,2025-11-18,Wire transfer,ACC00000006,ACC00000014,
TXN0000000133,170.99,deposit,1763983271,2025-11-24,Wire transfer,ACC00000056,ACC00000061,
TXN0000000134,4399.02,deposit,1767970102,2026-01-09,Debit card purchase,ACC00000065,ACC00000045,
TXN0000000135,38377.31,deposit,1762710918,2025-11-09,ATM withdrawal,ACC00000083,ACC00000005,
TXN0000000136,27672.74,transfer,1762164388,2025-11-03,Debit card purchase,ACC00000115,ACC00000093,
TXN0000000137,640.18,deposit,1765141885,2025-12-07,ATM withdrawal,ACC00000078,ACC00000119,
TXN0000000138,450.64,transfer,1763965706,2025-11-24,Debit card purchase,ACC00000114,ACC00000019,
TXN0000000139,25417.19,transfer,1765172411,2025-12-08,ACH transfer,ACC00000084,ACC00000099,
TXN0000000140,1528.22,transfer,1764927707,2025-12-05,ACH transfer,ACC00000056,ACC00000112,
TXN0000000141,47911.66,deposit,1769004313,2026-01-21,ACH transfer,ACC00000081,ACC00000111,
TXN0000000142,221.62,transfer,1766153520,2025-12-19,Debit card purchase,ACC00000022,ACC00000025,
TXN0000000143,4431.23,transfer,1768577466,2026-01-16,ACH transfer,ACC00000085,ACC00000032,
TXN0000000144,14573.25,deposit,1765576686,2025-12-12,Check deposit,ACC00000074,ACC00000081,
TXN0000000145,41324.96,transfer,1769405256,2026-01-26,Debit card purchase,ACC00000095,ACC00000030,
TXN0000000146,1729.72,deposit,1764556740,2025-12-01,Wire transfer,ACC00000007,ACC00000070,
TXN0000000147,6379.57,withdrawal,1765952215,2025-12-17,ATM withdrawal,ACC00000103,ACC00000018,
TXN0000000148,19597.23,deposit,1766463418,2025-12-23,Wire transfer,ACC00000117,ACC00000088,
TXN0000000149,1724.46,withdrawal,1766547804,2025-12-24,Check deposit,ACC00000041,ACC00000013,
TXN0000000150,17746.09,transfer,1766439393,2025-12-22,Online payment,ACC00000056,ACC00000133,
TXN0000000151,118.05,deposit,1764171018,2025-11-26,Wire transfer,ACC00000079,ACC00000012,
TXN0000000152,170.78,transfer,1762831729,2025-11-11,Online payment,ACC00000066,ACC00000076,
TXN0000000153,3506.22,deposit,1768528261,2026-01-16,ATM withdrawal,ACC00000059,ACC00000130,
TXN0000000154,30909.16,transfer,1764971974,2025-12-05,ATM withdrawal,ACC00000005,ACC00000119,
TXN0000000155,12734.29,transfer,1765404895,2025-12-10,Check deposit,ACC00000075,ACC00000030,
TXN0000000156,31499.21,withdrawal,1762438741,2025-11-06,Online payment,ACC00000023,ACC00000113,
TXN0000000157,173.2,deposit,1765953165,2025-12-17,Check deposit,ACC00000087,ACC00000057,
TXN0000000158,13877.23,transfer,1763015897,2025-11-13,ACH transfer,ACC00000090,ACC00000038,
TXN0000000159,31076.06,transfer,1769013405,2026-01-21,Online payment,ACC00000046,ACC00000128,
TXN0000000160,807.29,transfer,1768019441,2026-01-10,ACH transfer,ACC00000083,ACC00000081,
TXN0000000161,2577.84,deposit,1768294454,2026-01-13,Online payment,ACC00000091,ACC00000131,
TXN0000000162,47940.42,withdrawal,1768793519,2026-01-19,Debit card purchase,ACC00000024,ACC00000131,
TXN0000000163,2756.15,withdrawal,1762632012,2025-11-08,Online payment,ACC00000049,ACC00000084,
TXN0000000164,676.14,transfer,1765902339,2025-12-16,Wire transfer,ACC00000022,ACC00000131,
TXN0000000165,39850.92,transfer,1766476342,2025-12-23,Online payment,ACC00000094,ACC00000097,
